Nombre;Maximo;Minimo;Media
ACCIONA;96.75;94.4;95.575
ACERINOX;8672.0;8468.0;8570.0
ACS;37.66;37.22;37.440002
AENA;167.5;166.1;166.8
AMADEUS;70.64;69.56;70.1
ARCELORMIT.;14318.0;14.08;7166.04
BA.SABADELL;1033.0;1.0165;517.00824
BA.SANTANDER;4.0675;4.01;4.03875
BANKIA;2262.0;2224.0;2243.0
BANKINTER;6604.0;6522.0;6563.0
BBVA;5.05;4969.0;2487.025
CAIXABANK;2806.0;2762.0;2784.0
CELLNEX;30.7;30.17;30.435001
CIE AUTOMOT.;23.74;23.4;23.57
ENAGAS;25.66;25.07;25.365
ENCE;3974.0;3846.0;3910.0
ENDESA;23.03;22.62;22.825
FERROVIAL;21.72;21.38;21.55
GRIFOLS CL.A;23.6;23.27;23.435001
IAG;5.46;5292.0;2648.73
IBERDROLA;8.45;8262.0;4135.225
INDITEX;25.19;24.87;25.03
INDRA A;9685.0;9535.0;9610.0
INM.COLONIAL;9915.0;9745.0;9830.0
MAPFRE;2654.0;2.62;1328.31
MEDIASET;6592.0;6446.0;6519.0
MELIA HOTELS;8.19;8.02;8.105
MERLIN;12.08;11.83;11.955
NATURGY;26.77;26.53;26.650002
R.E.C.;19875.0;19675.0;19775.0
REPSOL;14605.0;14.46;7309.73
SIEMENS GAME;14.39;14155.0;7084.695
TEC.REUNIDAS;23.2;22.78;22.990002
TELEFONICA;7256.0;7185.0;7220.5
VISCOFAN;49.12;48.46;48.79
